Symbol,Name,Last Sale,Net Change,% Change,Market Cap
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan),$6.82,0.06,0.888%,"46,731,586,582"
IQV,"IQVIA Holdings, Inc. Common Stock",$243.03,-4.04,-1.635%,"46,579,415,117"
MSCI,MSCI Inc Common Stock,$564.86,1.29,0.229%,"46,557,256,384"
LHX,"L3Harris Technologies, Inc. Common Stock",$227.10,1.59,0.705%,"46,551,825,976"
PINS,"Pinterest, Inc. Class A Common Stock",$72.23,0.80,1.12%,"46,000,467,574"
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$139.30,3.78,2.789%,"46,000,290,402"
INFO,IHS Markit Ltd. Common Shares,$115.15,0.28,0.244%,"45,900,205,424"
MAR,Marriott International Class A Common Stock,$140.36,5.33,3.947%,"45,706,625,474"
KMB,Kimberly-Clark Corporation Common Stock,$135.44,-2.29,-1.663%,"45,701,734,279"
RBLX,Roblox Corporation Class A Common Stock,$79.91,0.05,0.063%,"45,535,232,208"
WIT,Wipro Limited Common Stock,$8.28,0.07,0.853%,"45,207,464,221"
A,"Agilent Technologies, Inc. Common Stock",$148.95,-0.35,-0.234%,"45,197,868,364"
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",$63.36,0.04,0.063%,"45,054,971,533"
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares),$37.75,-0.25,-0.658%,"44,956,386,099"
EXC,Exelon Corporation Common Stock,$45.84,-0.22,-0.478%,"44,793,712,772"
DOW,Dow Inc. Common Stock ,$59.73,1.11,1.894%,"44,617,679,371"
VOD,Vodafone Group Plc American Depositary Shares,$16.01,0.32,2.04%,"44,549,388,200"
BCE,"BCE, Inc. Common Stock",$49.10,0.26,0.532%,"44,416,593,456"
BILI,Bilibili Inc. American Depositary Shares,$115.58,3.66,3.27%,"44,257,366,440"
MTCH,"Match Group, Inc. Common Stock",$159.70,5.93,3.856%,"44,155,176,400"
